Deportista: deportista_697, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Argentina, intento 3  Peor marca: 7188.0 en Torneo de Bulgaria, intento 7
Deportista: deportista_669, Especialidad: lanzamiento de bala,   Mejor marca: 2520.0 en Torneo de United States, intento 6  Peor marca: 2291.0 en Torneo de Vatican City, intento 2
Deportista: deportista_553, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Qatar, intento 9  Peor marca: 606.0 en Torneo de Guatemala, intento 9
Deportista: deportista_430, Especialidad: carrera 400 m con vallas,   Mejor marca: 46138.0 en Torneo de Azerbaijan, intento 1  Peor marca: 50693.0 en Torneo de Dominican Republic, intento 1
Deportista: deportista_3, Especialidad: carrera 200 m,   Mejor marca: 19503.0 en Torneo de Tonga, intento 1  Peor marca: 21449.0 en Torneo de El Salvador, intento 1
Deportista: deportista_460, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481036.0 en Torneo de New Zealand, intento 1  Peor marca: 529061.0 en Torneo de Canada, intento 1
Deportista: deportista_112, Especialidad: carrera 400 m,   Mejor marca: 43471.0 en Torneo de Australia, intento 1  Peor marca: 47791.0 en Torneo de Cambodia, intento 1
Deportista: deportista_495, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Zambia, intento 3  Peor marca: 237.0 en Torneo de Luxembourg, intento 6
Deportista: deportista_525, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Tanzania, intento 2  Peor marca: 606.0 en Torneo de Slovenia, intento 8
Deportista: deportista_317, Especialidad: carrera 21000 m,   Mejor marca: 3482666.0 en Torneo de Nicaragua, intento 1  Peor marca: 3824795.0 en Torneo de Saudi Arabia, intento 1
Deportista: deportista_746, Especialidad: lanzamiento de martillo,   Mejor marca: 8987.0 en Torneo de Grenada, intento 3  Peor marca: 8176.0 en Torneo de Malaysia, intento 2
Deportista: deportista_742, Especialidad: lanzamiento de martillo,   Mejor marca: 8989.0 en Torneo de Sri Lanka, intento 7  Peor marca: 8174.0 en Torneo de Georgia, intento 8
Deportista: deportista_516, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Syria, intento 10  Peor marca: 237.0 en Torneo de Iran, intento 6
Deportista: deportista_241, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481056.0 en Torneo de Kyrgyzstan, intento 1  Peor marca: 529067.0 en Torneo de Scotland, intento 1
Deportista: deportista_297, Especialidad: carrera 21000 m,   Mejor marca: 3481150.0 en Torneo de Congo Democratic Republic of the, intento 1  Peor marca: 3829025.0 en Torneo de Panama, intento 1
Deportista: deportista_106, Especialidad: carrera 400 m,   Mejor marca: 43484.0 en Torneo de Niger, intento 1  Peor marca: 47772.0 en Torneo de Guatemala, intento 1
Deportista: deportista_353, Especialidad: carrera 42000 m,   Mejor marca: 7307460.0 en Torneo de Uzbekistan, intento 1  Peor marca: 8026004.0 en Torneo de Afghanistan, intento 1
Deportista: deportista_618, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Colombia, intento 6  Peor marca: 1814.0 en Torneo de Kuwait, intento 6
Deportista: deportista_637, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Kenya, intento 9  Peor marca: 1815.0 en Torneo de Ethiopia, intento 4
Deportista: deportista_125, Especialidad: carrera 800 m,   Mejor marca: 101977.0 en Torneo de Malta, intento 1  Peor marca: 112075.0 en Torneo de Sudan, intento 1
Deportista: deportista_461, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481061.0 en Torneo de Kyrgyzstan, intento 1  Peor marca: 528938.0 en Torneo de Suriname, intento 1
Deportista: deportista_203, Especialidad: carrera 1500 m,   Mejor marca: 208852.0 en Torneo de Turkey, intento 1  Peor marca: 229623.0 en Torneo de Gabon, intento 1
Deportista: deportista_394, Especialidad: carrera 110 m con vallas,   Mejor marca: 12115.0 en Torneo de Saint Lucia, intento 1  Peor marca: 13302.0 en Torneo de Wales, intento 1
Deportista: deportista_77, Especialidad: carrera 400 m,   Mejor marca: 43453.0 en Torneo de Andorra, intento 1  Peor marca: 47789.0 en Torneo de Algeria, intento 1
Deportista: deportista_515, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Uganda, intento 5  Peor marca: 237.0 en Torneo de Algeria, intento 1
Deportista: deportista_414, Especialidad: carrera 400 m con vallas,   Mejor marca: 46151.0 en Torneo de Jamaica, intento 1  Peor marca: 50693.0 en Torneo de United States, intento 1
Deportista: deportista_474, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481375.0 en Torneo de Madagascar, intento 1  Peor marca: 529033.0 en Torneo de Botswana, intento 1
Deportista: deportista_251, Especialidad: carrera 10000 m,   Mejor marca: 1610215.0 en Torneo de Australia, intento 1  Peor marca: 1768287.0 en Torneo de Sri Lanka, intento 1
Deportista: deportista_624, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Bhutan, intento 8  Peor marca: 1814.0 en Torneo de Guyana, intento 3
Deportista: deportista_302, Especialidad: carrera 21000 m,   Mejor marca: 3481507.0 en Torneo de Greece, intento 1  Peor marca: 3827462.0 en Torneo de Zimbabwe, intento 1
Deportista: deportista_535, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Puerto Rico, intento 1  Peor marca: 606.0 en Torneo de Andorra, intento 5
Deportista: deportista_471, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481266.0 en Torneo de Denmark, intento 1  Peor marca: 529006.0 en Torneo de Ghana, intento 1
Deportista: deportista_458, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481261.0 en Torneo de Seychelles, intento 1  Peor marca: 528928.0 en Torneo de Nicaragua, intento 1
Deportista: deportista_50, Especialidad: carrera 200 m,   Mejor marca: 19508.0 en Torneo de Tonga, intento 1  Peor marca: 21446.0 en Torneo de Costa Rica, intento 1
Deportista: deportista_463, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481095.0 en Torneo de Germany, intento 1  Peor marca: 529132.0 en Torneo de Mali, intento 1
Deportista: deportista_675, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Pakistan, intento 10  Peor marca: 2291.0 en Torneo de Maldives, intento 5
Deportista: deportista_601, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Monaco, intento 1  Peor marca: 869.0 en Torneo de Slovakia, intento 6
Deportista: deportista_576, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Montenegro, intento 3  Peor marca: 869.0 en Torneo de Romania, intento 1
Deportista: deportista_58, Especialidad: carrera 200 m,   Mejor marca: 19532.0 en Torneo de Cameroon, intento 1  Peor marca: 21426.0 en Torneo de Congo Republic of the, intento 1
Deportista: deportista_753, Especialidad: lanzamiento de martillo,   Mejor marca: 8992.0 en Torneo de Papua New Guinea, intento 10  Peor marca: 8175.0 en Torneo de Mongolia, intento 2
Deportista: deportista_344, Especialidad: carrera 42000 m,   Mejor marca: 7309082.0 en Torneo de Mauritania, intento 1  Peor marca: 8026649.0 en Torneo de Uzbekistan, intento 1
Deportista: deportista_208, Especialidad: carrera 21000 m,   Mejor marca: 3481565.0 en Torneo de Kazakhstan, intento 1  Peor marca: 3828537.0 en Torneo de Moldova, intento 1
Deportista: deportista_529, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Romania, intento 3  Peor marca: 606.0 en Torneo de Cuba, intento 9
Deportista: deportista_54, Especialidad: carrera 200 m,   Mejor marca: 19505.0 en Torneo de Jordan, intento 1  Peor marca: 21442.0 en Torneo de Australia, intento 1
Deportista: deportista_774, Especialidad: lanzamiento de jabalina,   Mejor marca: 9966.0 en Torneo de Poland, intento 6  Peor marca: 9066.0 en Torneo de Malta, intento 7
Deportista: deportista_183, Especialidad: carrera 1500 m,   Mejor marca: 208853.0 en Torneo de Uganda, intento 1  Peor marca: 229496.0 en Torneo de Cabo Verde, intento 1
Deportista: deportista_778, Especialidad: lanzamiento de jabalina,   Mejor marca: 9953.0 en Torneo de Thailand, intento 2  Peor marca: 9064.0 en Torneo de Bolivia, intento 8
Deportista: deportista_621, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Afghanistan, intento 7  Peor marca: 1815.0 en Torneo de Botswana, intento 8
Deportista: deportista_128, Especialidad: carrera 800 m,   Mejor marca: 101946.0 en Torneo de Guinea, intento 1  Peor marca: 112071.0 en Torneo de Spain, intento 1
Deportista: deportista_163, Especialidad: carrera 800 m,   Mejor marca: 101901.0 en Torneo de Netherlands, intento 1  Peor marca: 112079.0 en Torneo de Virgin Islands (British), intento 1
Deportista: deportista_271, Especialidad: carrera 10000 m,   Mejor marca: 1608075.0 en Torneo de Ecuador, intento 1  Peor marca: 1768720.0 en Torneo de Estonia, intento 1
Deportista: deportista_251, Especialidad: carrera 42000 m,   Mejor marca: 7301146.0 en Torneo de Ecuador, intento 1  Peor marca: 8030030.0 en Torneo de Azerbaijan, intento 1
Deportista: deportista_451, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481060.0 en Torneo de Marshall Islands, intento 1  Peor marca: 528923.0 en Torneo de Paraguay, intento 1
Deportista: deportista_659, Especialidad: lanzamiento de bala,   Mejor marca: 2520.0 en Torneo de Sierra Leone, intento 4  Peor marca: 2292.0 en Torneo de Indonesia, intento 10
Deportista: deportista_792, Especialidad: lanzamiento de jabalina,   Mejor marca: 9968.0 en Torneo de United Arab Emirates, intento 1  Peor marca: 9062.0 en Torneo de Austria, intento 9
Deportista: deportista_384, Especialidad: carrera 110 m con vallas,   Mejor marca: 12100.0 en Torneo de Moldova, intento 1  Peor marca: 13306.0 en Torneo de Tunisia, intento 1
Deportista: deportista_421, Especialidad: carrera 400 m con vallas,   Mejor marca: 46116.0 en Torneo de Bulgaria, intento 1  Peor marca: 50692.0 en Torneo de Finland, intento 1
Deportista: deportista_787, Especialidad: lanzamiento de jabalina,   Mejor marca: 9967.0 en Torneo de Maldives, intento 8  Peor marca: 9063.0 en Torneo de Portugal, intento 9
Deportista: deportista_396, Especialidad: carrera 110 m con vallas,   Mejor marca: 12098.0 en Torneo de Djibouti, intento 1  Peor marca: 13295.0 en Torneo de Jamaica, intento 1
Deportista: deportista_194, Especialidad: carrera 1500 m,   Mejor marca: 208867.0 en Torneo de Mongolia, intento 1  Peor marca: 229647.0 en Torneo de Algeria, intento 1
Deportista: deportista_505, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Virgin Islands (British), intento 3  Peor marca: 237.0 en Torneo de Kiribati, intento 1
Deportista: deportista_301, Especialidad: carrera 21000 m,   Mejor marca: 3484115.0 en Torneo de Grenada, intento 1  Peor marca: 3827304.0 en Torneo de Thailand, intento 1
Deportista: deportista_77, Especialidad: carrera 200 m,   Mejor marca: 19504.0 en Torneo de Fiji, intento 1  Peor marca: 21450.0 en Torneo de Gambia, intento 1
Deportista: deportista_355, Especialidad: carrera 42000 m,   Mejor marca: 7302153.0 en Torneo de Japan, intento 1  Peor marca: 8030109.0 en Torneo de Honduras, intento 1
Deportista: deportista_252, Especialidad: carrera 10000 m,   Mejor marca: 1609185.0 en Torneo de Hungary, intento 1  Peor marca: 1768556.0 en Torneo de Chad, intento 1
Deportista: deportista_47, Especialidad: carrera 200 m,   Mejor marca: 19506.0 en Torneo de Nepal, intento 1  Peor marca: 21433.0 en Torneo de Dominican Republic, intento 1
Deportista: deportista_304, Especialidad: carrera 42000 m,   Mejor marca: 7305943.0 en Torneo de Ethiopia, intento 1  Peor marca: 8026138.0 en Torneo de Ireland, intento 1
Deportista: deportista_135, Especialidad: carrera 800 m,   Mejor marca: 102008.0 en Torneo de San Marino, intento 1  Peor marca: 112055.0 en Torneo de Rwanda, intento 1
Deportista: deportista_151, Especialidad: carrera 1500 m,   Mejor marca: 209050.0 en Torneo de Italy, intento 1  Peor marca: 229591.0 en Torneo de Liechtenstein, intento 1
Deportista: deportista_3, Especialidad: carrera 100 m,   Mejor marca: 9761.0 en Torneo de Djibouti, intento 1  Peor marca: 10716.0 en Torneo de Central African Republic, intento 1
Deportista: deportista_764, Especialidad: lanzamiento de martillo,   Mejor marca: 8984.0 en Torneo de Grenada, intento 6  Peor marca: 8175.0 en Torneo de El Salvador, intento 8
Deportista: deportista_263, Especialidad: carrera 10000 m,   Mejor marca: 1610159.0 en Torneo de Morocco, intento 1  Peor marca: 1766905.0 en Torneo de Vatican City, intento 1
Deportista: deportista_646, Especialidad: lanzamiento de bala,   Mejor marca: 2520.0 en Torneo de Central African Republic, intento 1  Peor marca: 2291.0 en Torneo de Egypt, intento 8
Deportista: deportista_336, Especialidad: carrera 42000 m,   Mejor marca: 7304332.0 en Torneo de Cabo Verde, intento 1  Peor marca: 8027313.0 en Torneo de Netherlands, intento 1
Deportista: deportista_235, Especialidad: carrera 5000 m,   Mejor marca: 772328.0 en Torneo de Qatar, intento 1  Peor marca: 849255.0 en Torneo de Syria, intento 1
Deportista: deportista_214, Especialidad: carrera 5000 m,   Mejor marca: 772331.0 en Torneo de Nigeria, intento 1  Peor marca: 849264.0 en Torneo de Norway, intento 1
Deportista: deportista_453, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481332.0 en Torneo de French Guiana, intento 1  Peor marca: 529108.0 en Torneo de Bulgaria, intento 1
Deportista: deportista_67, Especialidad: carrera 200 m,   Mejor marca: 19518.0 en Torneo de Lithuania, intento 1  Peor marca: 21412.0 en Torneo de Latvia, intento 1
Deportista: deportista_323, Especialidad: carrera 21000 m,   Mejor marca: 3481578.0 en Torneo de Pakistan, intento 1  Peor marca: 3825513.0 en Torneo de Moldova, intento 1
Deportista: deportista_343, Especialidad: carrera 42000 m,   Mejor marca: 7309791.0 en Torneo de Russia, intento 1  Peor marca: 8029220.0 en Torneo de Panama, intento 1
Deportista: deportista_250, Especialidad: carrera 21000 m,   Mejor marca: 3481418.0 en Torneo de Gambia, intento 1  Peor marca: 3828714.0 en Torneo de Vatican City, intento 1
Deportista: deportista_316, Especialidad: carrera 21000 m,   Mejor marca: 3481643.0 en Torneo de Russia, intento 1  Peor marca: 3826972.0 en Torneo de Moldova, intento 1
Deportista: deportista_530, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Suriname, intento 1  Peor marca: 606.0 en Torneo de Kiribati, intento 10
Deportista: deportista_431, Especialidad: carrera 400 m con vallas,   Mejor marca: 46202.0 en Torneo de Central African Republic, intento 1  Peor marca: 50660.0 en Torneo de Gabon, intento 1
Deportista: deportista_716, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Argentina, intento 8  Peor marca: 7187.0 en Torneo de Georgia, intento 3
Deportista: deportista_644, Especialidad: salto triple,   Mejor marca: 1995.0 en Torneo de Senegal, intento 8  Peor marca: 1815.0 en Torneo de Congo Democratic Republic of the, intento 7
Deportista: deportista_260, Especialidad: carrera 21000 m,   Mejor marca: 3482276.0 en Torneo de Belarus, intento 1  Peor marca: 3825488.0 en Torneo de Malawi, intento 1
Deportista: deportista_175, Especialidad: carrera 1500 m,   Mejor marca: 208795.0 en Torneo de Papua New Guinea, intento 1  Peor marca: 229640.0 en Torneo de Wales, intento 1
Deportista: deportista_519, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Zambia, intento 5  Peor marca: 237.0 en Torneo de Antigua and Barbuda, intento 5
Deportista: deportista_198, Especialidad: carrera 1500 m,   Mejor marca: 208794.0 en Torneo de Peru, intento 1  Peor marca: 229428.0 en Torneo de Serbia, intento 1
Deportista: deportista_763, Especialidad: lanzamiento de martillo,   Mejor marca: 8989.0 en Torneo de Sri Lanka, intento 6  Peor marca: 8175.0 en Torneo de Panama, intento 1
Deportista: deportista_66, Especialidad: carrera 400 m,   Mejor marca: 43496.0 en Torneo de Uzbekistan, intento 1  Peor marca: 47784.0 en Torneo de Taiwan, intento 1
Deportista: deportista_574, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Puerto Rico, intento 8  Peor marca: 870.0 en Torneo de Equatorial Guinea, intento 9
Deportista: deportista_184, Especialidad: carrera 21000 m,   Mejor marca: 3482679.0 en Torneo de Gambia, intento 1  Peor marca: 3826790.0 en Torneo de Saint Lucia, intento 1
Deportista: deportista_371, Especialidad: carrera 110 m con vallas,   Mejor marca: 12105.0 en Torneo de Togo, intento 1  Peor marca: 13287.0 en Torneo de Trinidad and Tobago, intento 1
Deportista: deportista_770, Especialidad: lanzamiento de jabalina,   Mejor marca: 9966.0 en Torneo de Eritrea, intento 3  Peor marca: 9065.0 en Torneo de Lithuania, intento 8
Deportista: deportista_797, Especialidad: lanzamiento de jabalina,   Mejor marca: 9968.0 en Torneo de Japan, intento 10  Peor marca: 9062.0 en Torneo de Finland, intento 10
Deportista: deportista_291, Especialidad: carrera 21000 m,   Mejor marca: 3481489.0 en Torneo de Burkina Faso, intento 1  Peor marca: 3828843.0 en Torneo de Ecuador, intento 1
Deportista: deportista_177, Especialidad: carrera 1500 m,   Mejor marca: 208828.0 en Torneo de Bosnia and Herzegovina, intento 1  Peor marca: 229574.0 en Torneo de Taiwan, intento 1
Deportista: deportista_542, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Panama, intento 4  Peor marca: 606.0 en Torneo de Ghana, intento 2
Deportista: deportista_506, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Zimbabwe, intento 2  Peor marca: 237.0 en Torneo de Belarus, intento 3
Deportista: deportista_70, Especialidad: carrera 200 m,   Mejor marca: 19502.0 en Torneo de Kyrgyzstan, intento 1  Peor marca: 21430.0 en Torneo de Ecuador, intento 1
Deportista: deportista_156, Especialidad: carrera 800 m,   Mejor marca: 101915.0 en Torneo de Colombia, intento 1  Peor marca: 112045.0 en Torneo de Lebanon, intento 1
Deportista: deportista_668, Especialidad: lanzamiento de martillo,   Mejor marca: 8985.0 en Torneo de Panama, intento 10  Peor marca: 8174.0 en Torneo de Guinea, intento 3
Deportista: deportista_403, Especialidad: carrera 110 m con vallas,   Mejor marca: 12105.0 en Torneo de Antigua and Barbuda, intento 1  Peor marca: 13297.0 en Torneo de Maldives, intento 1
Deportista: deportista_739, Especialidad: lanzamiento de martillo,   Mejor marca: 8990.0 en Torneo de Wales, intento 8  Peor marca: 8175.0 en Torneo de Congo Democratic Republic of the, intento 6
Deportista: deportista_285, Especialidad: carrera 21000 m,   Mejor marca: 3481218.0 en Torneo de North Korea, intento 1  Peor marca: 3828110.0 en Torneo de Bosnia and Herzegovina, intento 1
Deportista: deportista_9, Especialidad: carrera 100 m,   Mejor marca: 9766.0 en Torneo de Sri Lanka, intento 1  Peor marca: 10734.0 en Torneo de Morocco, intento 1
Deportista: deportista_303, Especialidad: carrera 21000 m,   Mejor marca: 3485317.0 en Torneo de Papua New Guinea, intento 1  Peor marca: 3828626.0 en Torneo de Rwanda, intento 1
Deportista: deportista_600, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Virgin Islands (British), intento 3  Peor marca: 869.0 en Torneo de Ivory Coast, intento 1
Deportista: deportista_381, Especialidad: carrera 110 m con vallas,   Mejor marca: 12128.0 en Torneo de Slovakia, intento 1  Peor marca: 13307.0 en Torneo de Moldova, intento 1
Deportista: deportista_482, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481184.0 en Torneo de Marshall Islands, intento 1  Peor marca: 529071.0 en Torneo de Colombia, intento 1
Deportista: deportista_504, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Uruguay, intento 10  Peor marca: 237.0 en Torneo de Benin, intento 9
Deportista: deportista_184, Especialidad: carrera 10000 m,   Mejor marca: 1608968.0 en Torneo de Fiji, intento 1  Peor marca: 1766874.0 en Torneo de Syria, intento 1
Deportista: deportista_182, Especialidad: carrera 1500 m,   Mejor marca: 208801.0 en Torneo de Vietnam, intento 1  Peor marca: 229628.0 en Torneo de Kiribati, intento 1
Deportista: deportista_152, Especialidad: carrera 800 m,   Mejor marca: 101904.0 en Torneo de Monaco, intento 1  Peor marca: 112022.0 en Torneo de Angola, intento 1
Deportista: deportista_773, Especialidad: lanzamiento de jabalina,   Mejor marca: 9960.0 en Torneo de Rwanda, intento 4  Peor marca: 9061.0 en Torneo de Burundi, intento 8
Deportista: deportista_377, Especialidad: carrera 110 m con vallas,   Mejor marca: 12104.0 en Torneo de Nauru, intento 1  Peor marca: 13306.0 en Torneo de Ivory Coast, intento 1
Deportista: deportista_782, Especialidad: lanzamiento de jabalina,   Mejor marca: 9962.0 en Torneo de Saint Lucia, intento 5  Peor marca: 9065.0 en Torneo de Afghanistan, intento 8
Deportista: deportista_434, Especialidad: carrera 400 m con vallas,   Mejor marca: 46208.0 en Torneo de Taiwan, intento 1  Peor marca: 50684.0 en Torneo de Marshall Islands, intento 1
Deportista: deportista_498, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Uganda, intento 10  Peor marca: 237.0 en Torneo de Macedonia, intento 5
Deportista: deportista_114, Especialidad: carrera 400 m,   Mejor marca: 43467.0 en Torneo de Malta, intento 1  Peor marca: 47786.0 en Torneo de Timor-Leste, intento 1
Deportista: deportista_208, Especialidad: carrera 10000 m,   Mejor marca: 1608999.0 en Torneo de Belgium, intento 1  Peor marca: 1767320.0 en Torneo de South Sudan, intento 1
Deportista: deportista_88, Especialidad: carrera 400 m,   Mejor marca: 43461.0 en Torneo de Dominica, intento 1  Peor marca: 47791.0 en Torneo de Laos, intento 1
Deportista: deportista_765, Especialidad: lanzamiento de martillo,   Mejor marca: 8990.0 en Torneo de Kazakhstan, intento 9  Peor marca: 8175.0 en Torneo de Ukraine, intento 2
Deportista: deportista_531, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Suriname, intento 10  Peor marca: 606.0 en Torneo de Djibouti, intento 10
Deportista: deportista_544, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Qatar, intento 4  Peor marca: 606.0 en Torneo de Indonesia, intento 2
Deportista: deportista_620, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Eritrea, intento 7  Peor marca: 1814.0 en Torneo de Gambia, intento 5
Deportista: deportista_789, Especialidad: lanzamiento de jabalina,   Mejor marca: 9966.0 en Torneo de Jordan, intento 7  Peor marca: 9067.0 en Torneo de Singapore, intento 10
Deportista: deportista_780, Especialidad: lanzamiento de jabalina,   Mejor marca: 9966.0 en Torneo de Ecuador, intento 8  Peor marca: 9063.0 en Torneo de Benin, intento 8
Deportista: deportista_410, Especialidad: carrera 400 m con vallas,   Mejor marca: 46095.0 en Torneo de Mexico, intento 1  Peor marca: 50689.0 en Torneo de Wales, intento 1
Deportista: deportista_478, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481151.0 en Torneo de Libya, intento 1  Peor marca: 529081.0 en Torneo de Laos, intento 1
Deportista: deportista_137, Especialidad: carrera 800 m,   Mejor marca: 101895.0 en Torneo de Central African Republic, intento 1  Peor marca: 112075.0 en Torneo de Zimbabwe, intento 1
Deportista: deportista_28, Especialidad: carrera 200 m,   Mejor marca: 19506.0 en Torneo de Georgia, intento 1  Peor marca: 21444.0 en Torneo de Uzbekistan, intento 1
Deportista: deportista_713, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Myanmar, intento 3  Peor marca: 7191.0 en Torneo de Bulgaria, intento 7
Deportista: deportista_98, Especialidad: carrera 400 m,   Mejor marca: 43457.0 en Torneo de Ukraine, intento 1  Peor marca: 47761.0 en Torneo de Mexico, intento 1
Deportista: deportista_350, Especialidad: carrera 42000 m,   Mejor marca: 7309275.0 en Torneo de Peru, intento 1  Peor marca: 8023521.0 en Torneo de Kiribati, intento 1
Deportista: deportista_727, Especialidad: lanzamiento de martillo,   Mejor marca: 8988.0 en Torneo de Central African Republic, intento 6  Peor marca: 8174.0 en Torneo de Comoros, intento 1
Deportista: deportista_552, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Vatican City, intento 3  Peor marca: 606.0 en Torneo de Angola, intento 5
Deportista: deportista_111, Especialidad: carrera 400 m,   Mejor marca: 43454.0 en Torneo de Niger, intento 1  Peor marca: 47793.0 en Torneo de Cameroon, intento 1
Deportista: deportista_390, Especialidad: carrera 110 m con vallas,   Mejor marca: 12100.0 en Torneo de Papua New Guinea, intento 1  Peor marca: 13286.0 en Torneo de Georgia, intento 1
Deportista: deportista_114, Especialidad: carrera 400 m con vallas,   Mejor marca: 46135.0 en Torneo de Cambodia, intento 1  Peor marca: 50646.0 en Torneo de Libya, intento 1
Deportista: deportista_260, Especialidad: carrera 10000 m,   Mejor marca: 1610703.0 en Torneo de Equatorial Guinea, intento 1  Peor marca: 1768348.0 en Torneo de Sri Lanka, intento 1
Deportista: deportista_766, Especialidad: lanzamiento de jabalina,   Mejor marca: 9959.0 en Torneo de Singapore, intento 6  Peor marca: 9063.0 en Torneo de Bolivia, intento 9
Deportista: deportista_119, Especialidad: carrera 400 m,   Mejor marca: 43466.0 en Torneo de Kenya, intento 1  Peor marca: 47793.0 en Torneo de New Zealand, intento 1
Deportista: deportista_756, Especialidad: lanzamiento de martillo,   Mejor marca: 8990.0 en Torneo de Russia, intento 9  Peor marca: 8179.0 en Torneo de Lebanon, intento 9
Deportista: deportista_598, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Togo, intento 3  Peor marca: 869.0 en Torneo de Belize, intento 1
Deportista: deportista_591, Especialidad: salto triple,   Mejor marca: 1995.0 en Torneo de Angola, intento 7  Peor marca: 1814.0 en Torneo de Laos, intento 1
Deportista: deportista_502, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Tuvalu, intento 5  Peor marca: 237.0 en Torneo de Albania, intento 4
Deportista: deportista_231, Especialidad: carrera 5000 m,   Mejor marca: 773421.0 en Torneo de Maldives, intento 1  Peor marca: 849044.0 en Torneo de Timor-Leste, intento 1
Deportista: deportista_483, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481149.0 en Torneo de Slovakia, intento 1  Peor marca: 529122.0 en Torneo de Belgium, intento 1
Deportista: deportista_686, Especialidad: lanzamiento de disco,   Mejor marca: 7904.0 en Torneo de Paraguay, intento 4  Peor marca: 7189.0 en Torneo de Uzbekistan, intento 1
Deportista: deportista_561, Especialidad: salto con pertiga,   Mejor marca: 666.0 en Torneo de Wales, intento 9  Peor marca: 606.0 en Torneo de Cambodia, intento 2
Deportista: deportista_452, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481040.0 en Torneo de Georgia, intento 1  Peor marca: 529015.0 en Torneo de Mozambique, intento 1
Deportista: deportista_769, Especialidad: lanzamiento de jabalina,   Mejor marca: 9962.0 en Torneo de Serbia, intento 6  Peor marca: 9064.0 en Torneo de Grenada, intento 1
Deportista: deportista_224, Especialidad: carrera 10000 m,   Mejor marca: 1608470.0 en Torneo de Eritrea, intento 1  Peor marca: 1767213.0 en Torneo de Turkey, intento 1
Deportista: deportista_238, Especialidad: carrera 5000 m,   Mejor marca: 772237.0 en Torneo de Nicaragua, intento 1  Peor marca: 848970.0 en Torneo de Ireland, intento 1
Deportista: deportista_351, Especialidad: carrera 42000 m,   Mejor marca: 7304817.0 en Torneo de Eritrea, intento 1  Peor marca: 8030853.0 en Torneo de Tajikistan, intento 1
Deportista: deportista_567, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Kenya, intento 2  Peor marca: 869.0 en Torneo de Iraq, intento 1
Deportista: deportista_23, Especialidad: carrera 200 m,   Mejor marca: 19501.0 en Torneo de Tonga, intento 1  Peor marca: 21423.0 en Torneo de Austria, intento 1
Deportista: deportista_694, Especialidad: lanzamiento de disco,   Mejor marca: 7902.0 en Torneo de Eritrea, intento 1  Peor marca: 7186.0 en Torneo de Northern Ireland, intento 7
Deportista: deportista_80, Especialidad: carrera 200 m,   Mejor marca: 19522.0 en Torneo de Guinea-Bissau, intento 1  Peor marca: 21440.0 en Torneo de Sao Tome and Principe, intento 1
